,Bloque.1,Bloque.2,Individuo,DiamTallo,AlturaTallo,CobVeg_anc,CobVeg_lar
525,B5,6,653,13.4,18,35,23.5
536,B5,6,655,12.4,9,59,57
524,B5,6,656,5.6,3.7,14.5,12
527,B5,6,657,10.2,10.5,36,35
526,B5,6,658,10.1,6.5,36,34
538,B5,6,659,12.9,6.5,70,59
534,B5,6,660,11.3,11.5,75,52
529,B5,6,661,14,12.2,53,38
540,B5,6,662,14.3,11.5,79,68
537,B5,6,663,13,12.5,60,59
500,B5,4,664,9.8,10.7,58,56
530,B5,6,664,10.7,13,64,42
499,B5,4,665,11.7,8.2,64,55
533,B5,6,665,14.5,7.5,63,51
531,B5,6,666,13.6,8.5,45,43
517,B5,5,667,11.3,14.5,89,59
505,B5,5,668,11.2,8.7,34,34
523,B5,5,669,13.3,14.5,90,79
522,B5,5,670,12.2,12,75,67
512,B5,5,671,9.2,7.3,62,56
508,B5,5,672,14.5,12.2,62,40
514,B5,5,673,10.7,8.8,66,56
515,B5,5,674,13.2,14,65,58
519,B5,5,675,13.6,14.5,68,63
509,B5,5,676,20.9,7,46,46
513,B5,5,677,11.6,13,63,56
520,B5,5,678,14.5,12,66,64
516,B5,5,679,12.1,14,76,59
521,B5,5,680,12.1,15,73,65
510,B5,5,681,12.2,10.5,56,52
511,B5,5,682,11.8,10.5,67,55
518,B5,5,683,13.4,10,56,60
506,B5,5,684,10.2,10.8,36,34
507,B5,5,685,11.6,11,42,38
504,B5,5,686,5.5,2.5,23,18
427,B5,1,687,9.2,5,52,41
429,B5,1,688,9.1,4.2,49,44
433,B5,1,689,8.1,10,48.5,54
443,B5,1,690,12.6,11.5,72,73
426,B5,1,691,11.5,6.5,46,41
436,B5,1,692,11.2,8,41,56
421,B5,1,693,5.8,3.5,20,21
442,B5,1,694,13.1,9,63,66
439,B5,1,695,11.8,8.5,56,60
440,B5,1,696,9.6,9.3,53,61
438,B5,1,697,12.3,14,66,57
432,B5,1,698,14.3,10.5,82,52
441,B5,1,698,11.6,12.5,68,63
423,B5,1,699,10.9,8.7,40,39
425,B5,1,700,5.5,4.2,36,41
431,B5,1,701,12.1,10,68,49
430,B5,1,702,10.2,8.5,52,44
422,B5,1,703,7.4,2,47,29
435,B5,1,704,10.2,8.2,48.5,54.5
434,B5,1,705,12.5,5.5,49,54
437,B5,1,706,12.1,9.5,48,57
428,B5,1,707,8.3,8.5,38,42.5
424,B5,1,708,8.7,7.5,46,39
462,B5,3,710,3.5,4.2,18.5,17
475,B5,3,711,8.5,4.5,41,38
474,B5,3,712,8,6.5,40,38
463,B5,3,713,5.3,2.3,26,18
464,B5,3,714,5.5,2.5,21,20
460,B5,3,715,13,6,56,14
461,B5,3,717,6.5,2,35,16
472,B5,3,718,6.9,5,42,33
478,B5,3,719,7.5,6.5,49,44
480,B5,3,720,10.5,7.7,52,46
471,B5,3,721,8,6,47,32
468,B5,3,722,4.5,4.5,29.5,22
470,B5,3,723,5.7,4.7,33,32
465,B5,3,724,5.1,4.2,22,21
473,B5,3,725,6.4,5.2,39,36
481,B5,3,726,11.1,7,48,47
479,B5,3,727,7.7,7.5,48,45
466,B5,3,728,5.4,2,22,21
469,B5,3,729,10.3,3.8,29,26
477,B5,3,730,9.4,4.5,46,42
467,B5,3,731,6.8,4.8,28,21
476,B5,3,732,8.2,6.3,44,39
448,B5,2,733,4.7,3.5,23,23
453,B5,2,734,10.4,7.4,52,45
452,B5,2,735,10.5,7.5,43,39
449,B5,2,737,9.3,4,24,23
454,B5,2,738,8.8,8.5,58,52
445,B5,2,739,6.2,1,19,16
451,B5,2,740,10.4,6.5,64,37
456,B5,2,741,12.9,15,63,59
447,B5,2,742,6.7,3.5,22,21
455,B5,2,743,12.6,7.5,56,55
446,B5,2,744,6.4,5,24,20
450,B5,2,745,8.5,5,46,35
457,B5,2,746,12,9,67,62
458,B5,2,747,11.6,9.7,68,64
545,B5,7,748,8.1,8.5,40,39
549,B5,7,749,8.6,4,67,48
546,B5,7,750,8.5,2.5,40,40
554,B5,7,751,11.6,10.5,75,60
555,B5,7,752,12.8,10.5,90,72
551,B5,7,753,11.2,8.5,64,57
548,B5,7,754,11.5,6,65,47
542,B5,7,755,4.2,2.5,18,19
556,B5,7,756,14,12.5,76,73
553,B5,7,757,9.8,11,62,59
550,B5,7,758,9.9,6.5,56,53
552,B5,7,759,12.3,11.5,60,59
544,B5,7,760,7.6,4,37,35
543,B5,7,761,19,7.5,30,27
547,B5,7,762,10,8,67,46
541,B5,7,763,7,7,3.7,3.3
490,B5,4,766,11.6,9,56,43
501,B5,4,767,12.6,11,62,56
495,B5,4,768,11.3,10,60,46
488,B5,4,769,11.8,11.5,60,41
498,B5,4,770,10.2,8.2,54,51
494,B5,4,771,9.1,8.5,60,46
493,B5,4,772,10.7,10,55,45
486,B5,4,773,8.35,8.5,42,41
483,B5,4,774,5.4,7.5,44,38
503,B5,4,775,11.2,10,86,68
502,B5,4,776,11.7,6.5,76,60
487,B5,4,777,8.6,7,46.5,41
496,B5,4,778,10.4,10.5,54.5,47
484,B5,4,779,11.2,11,54,38
497,B5,4,780,12,11,59,48
491,B5,4,781,10,6.7,45,43.5
485,B5,4,782,8.8,6,60,38
492,B5,4,783,9,10.4,50,44
489,B5,4,784,9.4,8.3,51,42
482,B5,4,785,9.8,7.5,48,36
160,B3,1,915,12.7,8.5,58,56
169,B3,2,950,10.8,10.5,72,53
