,Bloque.1,Bloque.2,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
302,B4,1,641,2.5,7.6,22,21.3
295,B4,1,642,2.1,4.4,13,11.5
299,B4,1,643,1.7,5.7,20,17
293,B4,1,644,1.4,3.3,12,8
303,B4,1,645,1.2,6.8,24.7,22
304,B4,1,646,2.5,6.2,25,22
308,B4,1,647,6.7,2.7,33.5,27
294,B4,1,648,2.2,8.9,26.5,9
539,B5,6,649,3,8.4,28,23
537,B5,6,650,2.9,11.1,45,7
543,B5,6,651,2.3,12.4,33,29
546,B5,6,652,4.5,9.8,42,33
545,B5,6,653,11.8,3.2,36.5,32
554,B5,6,654,4,9.2,35.3,40
542,B5,6,655,3.5,9.3,30,29
538,B5,6,656,2.5,4.3,10.5,10
552,B5,6,657,4.6,11.3,39,38
541,B5,6,658,3.5,9.2,33,28
550,B5,6,659,3.2,9.9,39,36
548,B5,6,660,4,10.6,38,35
549,B5,6,661,3.8,8.9,37,36
547,B5,6,662,4.9,16.4,37,35
553,B5,6,663,4.4,12.8,49,39
544,B5,6,664,3.5,10,32,31
551,B5,6,665,5.3,10.8,38,36.5
540,B5,6,666,3.3,9.4,41,25
529,B5,5,667,6,10.8,43,37
519,B5,5,668,2.4,6.2,20,19.5
532,B5,5,669,4.7,13.2,38,40
530,B5,5,670,4.9,12,42,39
527,B5,5,671,4.3,7.2,36,35
522,B5,5,672,2.7,9.3,32,28
528,B5,5,673,3.4,10,36,35
526,B5,5,674,3.5,14.2,37,34
520,B5,5,675,3.3,7.6,32,23
531,B5,5,675,3.3,11.7,47,39
525,B5,5,676,3.5,8.9,35,34
536,B5,5,678,5,13.2,43,42.5
523,B5,5,679,4.3,11.8,33,32
534,B5,5,680,5.2,11.4,43,42
524,B5,5,681,4,10.3,34,33
533,B5,5,682,3.8,10.6,42,41
535,B5,5,683,4.5,14.7,43,42
521,B5,5,684,2,9.2,34,27
518,B5,5,685,2.7,11.2,41,15
517,B5,5,686,2.2,4.1,12,11
442,B5,1,687,2.5,6.4,25,19.5
444,B5,1,688,1.7,5.9,23,20
