"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob"
"292","B4",1,640,3,8.3,31,25,14,615.752160103599
"293","B4",1,645,2,6.8,33,25,14.5,660.519855417254
"294","B4",1,637,3,5.4,30,27,14.25,637.939658219577
"295","B4",1,633,2,8.4,31,27,14.5,660.519855417254
"296","B4",1,643,3.5,6.8,30,29,14.75,683.492751696629
"297","B4",1,646,4.5,6.9,34,30,16,804.247719318987
"298","B4",1,634,4,12.3,36,30,16.5,855.298599939821
"299","B4",1,635,3.5,7.7,38,30,17,907.92027688745
"300","B4",1,638,4.5,6.5,34,33,16.75,881.413088872786
"301","B4",1,636,5,9,34,33,16.75,881.413088872786
"302","B4",1,641,4,11.7,34,33,16.75,881.413088872786
"303","B4",1,647,4.5,10.5,42,34,19,1134.11494794592
"304","B4",1,639,4.5,10,36,35,17.75,989.798035421634
"305","B4",1,648,3.5,9.5,49,45,23.5,1734.94454294496
"306","B4",2,557,8.5,12.1,38,30,17,907.92027688745
"307","B4",2,562,4.5,12.2,37,32,17.25,934.820163983813
"308","B4",2,564,3,11.1,37,33,17.5,962.112750161874
"309","B4",2,558,6.5,13,40,33,18.25,1046.34670318625
"310","B4",2,554,4,10,37,34,17.75,989.798035421634
"311","B4",2,550,3.5,8.9,43,34,19.25,1164.15642769587
"312","B4",2,548,11.4,8.6,40,38,19.5,1194.59060652752
"313","B4",2,559,5.5,8.5,43,38,20.25,1288.24933751266
"314","B4",2,555,5.3,11.2,42,39,20.25,1288.24933751266
"315","B4",2,563,6,12.1,50,39,22.25,1555.2847130678
"316","B4",2,551,6.5,13.6,43,40,20.75,1352.65198691126
"317","B4",2,553,3,13.7,47,40,21.75,1486.16967468882
"318","B4",2,556,6.5,11.5,44,42,21.5,1452.20120412188
"319","B4",2,547,6.5,11.7,48,44,23,1661.902513749
"320","B4",2,546,5.5,12.3,50,48,24.5,1885.74099031727
"321","B4",2,561,7.5,13,57,49,26.5,2206.18344098343
"322","B4",2,552,5,12.1,59,57,29,2642.07942166902
"323","B4",2,549,7.5,15.6,60,58,29.5,2733.97100678652
"324","B4",2,560,10,11.8,102,67,42.25,5607.93923619863
"325","B4",3,629,2,5.7,19,18,9.25,268.802521422777
"326","B4",3,628,3.5,7.4,28,19,11.75,433.736135736241
"327","B4",3,624,3.5,5.9,39,20,14.75,683.492751696629
"328","B4",3,623,3.5,8.9,33,23,14,615.752160103599
"329","B4",3,621,5,6.5,26,24,12.5,490.873852123405
"330","B4",3,631,3.5,6.6,30,24,13.5,572.55526111674
"331","B4",3,632,3,6.1,28,25,13.25,551.545860245858
"332","B4",3,622,3.5,7.8,36,26,15.5,754.767635024948
"333","B4",3,614,3.3,6.9,31,27,14.5,660.519855417254
"334","B4",3,611,3,6.3,39,27,16.5,855.298599939821
"335","B4",3,610,3.5,5.7,36,28,16,804.247719318987
"336","B4",3,625,4.5,9,41,30,17.75,989.798035421634
"337","B4",3,612,2,7.9,35,32,16.75,881.413088872786
"338","B4",3,627,5.5,7.9,34,33,16.75,881.413088872786
"339","B4",3,618,4,8.5,35,34,17.25,934.820163983813
"340","B4",3,619,3.5,8,40,34,18.5,1075.21008569111
"341","B4",3,626,4,7.1,36,35,17.75,989.798035421634
"342","B4",3,615,4.5,8.2,37,35,18,1017.87601976309
"343","B4",3,630,4.5,5.9,38,37,18.75,1104.46616727766
"344","B4",3,616,5.3,9.7,38,37,18.75,1104.46616727766
"345","B4",3,613,6.5,7.6,40,39,19.75,1225.41748444087
"346","B4",3,620,4.7,7.6,42,40,20.5,1320.25431267111
"347","B4",3,617,3.5,10.7,47,40,21.75,1486.16967468882
"348","B4",4,587,3,9.7,34,29,15.75,779.311327631118
"349","B4",4,601,4.3,10,35,30,16.25,829.576810088555
"350","B4",4,607,3.5,9.1,44,33,19.25,1164.15642769587
"351","B4",4,598,5,10.4,35,34,17.25,934.820163983813
"352","B4",4,594,6.5,11.7,47,34,20.25,1288.24933751266
"353","B4",4,592,3.5,11.2,38,35,18.25,1046.34670318625
"354","B4",4,590,5.5,11.8,38,37,18.75,1104.46616727766
"355","B4",4,603,5.5,11.2,51,37,22,1520.53084433746
"356","B4",4,605,4.5,12.4,40,39,19.75,1225.41748444087
"357","B4",4,597,3.5,7.7,42,39,20.25,1288.24933751266
"358","B4",4,591,5,9.9,45,40,21.25,1418.62543263664
"359","B4",4,599,4.3,11.1,47,42,22.25,1555.2847130678
"360","B4",4,593,5,11,45,43,22,1520.53084433746
"361","B4",4,589,6.5,11.8,49,43,23,1661.902513749
"362","B4",4,600,2.5,11.5,52,43,23.75,1772.05460616549
"363","B4",4,588,4,12,55,43,24.5,1885.74099031727
"364","B4",4,604,7,15.2,59,44,25.75,2083.07227887088
"365","B4",4,596,6,9.4,47,45,23,1661.902513749
"366","B4",4,608,5.5,8.4,43,47,22.5,1590.43128087983
"367","B4",4,609,7,11.3,49,47,24,1809.55736846772
"368","B4",4,595,4.5,10.9,52,48,25,1963.49540849362
"369","B4",4,602,7.5,12,53,49,25.5,2042.82062299676
"370","B4",4,606,7.5,11.7,57,55,28,2463.0086404144
"371","B4",5,581,6,12.3,37,28,16.25,829.576810088555
"372","B4",5,571,5.5,9.1,44,36,20,1256.63706143592
"373","B4",5,568,5,7.2,40,37,19.25,1164.15642769587
"374","B4",5,573,4,12.2,40,37,19.25,1164.15642769587
"375","B4",5,583,6.5,9.5,40,39,19.75,1225.41748444087
"376","B4",5,576,4.5,9.5,43,40,20.75,1352.65198691126
"377","B4",5,565,8,11.6,49,41,22.5,1590.43128087983
"378","B4",5,566,6,8.8,45,42,21.75,1486.16967468882
"379","B4",5,574,7.5,11.6,50,42,23,1661.902513749
"380","B4",5,585,6.5,11.1,56,42,24.5,1885.74099031727
"381","B4",5,577,5,11.7,48,43,22.75,1625.97054777357
"382","B4",5,584,6.7,10.8,50,43,23.25,1698.22717880613
"383","B4",5,578,8,11.3,49,45,23.5,1734.94454294496
"384","B4",5,569,6.5,10.7,47,47,23.5,1734.94454294496
"385","B4",5,579,5,13.3,49,47,24,1809.55736846772
"386","B4",5,570,7,12.5,52,50,25.5,2042.82062299676
"387","B4",5,567,7.7,10.6,59,53,28,2463.0086404144
"388","B4",5,586,8.5,11.9,60,56,29,2642.07942166902
"389","B4",5,572,7.5,13.8,62,59,30.25,2874.75362757551
"390","B4",6,542,5.5,10.8,40,38,19.5,1194.59060652752
"391","B4",6,536,3,10.2,48,39,21.75,1486.16967468882
"392","B4",6,537,6.5,13.2,38,42,20,1256.63706143592
"393","B4",6,540,5,11.3,45,42,21.75,1486.16967468882
"394","B4",6,539,6,12,52,42,23.5,1734.94454294496
"395","B4",6,544,7.5,13.1,59,43,25.5,2042.82062299676
"396","B4",6,532,8,11.3,65,43,27,2290.22104446696
"397","B4",6,535,4,10.6,53,47,25,1963.49540849362
"398","B4",6,531,6.5,12.7,62,48,27.5,2375.82944427728
"399","B4",6,529,6,13.2,57,49,26.5,2206.18344098343
"400","B4",6,541,6.5,14,52,50,25.5,2042.82062299676
"401","B4",6,533,7,16.1,66,50,29,2642.07942166902
"402","B4",6,534,10,15.5,69,50,29.75,2780.50584796782
"403","B4",6,528,7.5,11.9,81,51,33,3421.19439975928
"404","B4",6,538,5.7,15,77,54,32.75,3369.5544705159
"405","B4",6,543,8,12.7,66,58,31,3019.07054009979
"406","B4",6,545,6.5,13.1,69,62,32.75,3369.5544705159
"407","B4",6,530,9.5,13,67,63,32.5,3318.30724035422
"408","B4",7,526,3.5,9.7,18,14,8,201.061929829747
"409","B4",7,527,4,6.3,30,24,13.5,572.55526111674
"410","B4",7,525,3.5,7.7,29,28,14.25,637.939658219577
"411","B4",7,515,3,7.5,30,30,15,706.858347057703
"412","B4",7,522,3.5,7,34,33,16.75,881.413088872786
"413","B4",7,521,4.5,9.6,36,33,17.25,934.820163983813
"414","B4",7,516,4,8.9,47,33,20,1256.63706143592
"415","B4",7,520,2.5,9.3,37,35,18,1017.87601976309
"416","B4",7,518,5,10,45,35,20,1256.63706143592
"417","B4",7,517,5.5,10.9,42,38,20,1256.63706143592
"418","B4",7,512,5.5,11.2,44,42,21.5,1452.20120412188
"419","B4",7,508,4,10.5,53,42,23.75,1772.05460616549
"420","B4",7,507,7,13.6,58,42,25,1963.49540849362
"421","B4",7,523,5,9.9,64,46,27.5,2375.82944427728
"422","B4",7,514,8.5,11.2,49,47,24,1809.55736846772
"423","B4",7,524,6.5,9.4,50,47,24.25,1847.45282985165
"424","B4",7,513,3.5,11.2,62,54,29,2642.07942166902
"425","B4",7,519,6,10.6,60,55,28.75,2596.72267773281
"426","B4",7,511,8.7,10.7,72,56,32,3216.99087727595
