"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob","Yesenia","Victor"
"195","B3",3,390,1.8,5.4,24.5,19,10.875,371.542418672205,371.542418672205,1462.41138024605
"196","B3",3,388,3,7.4,22,21,10.75,363.05030103047,363.05030103047,1451.41580595848
"197","B3",3,386,4.3,5.3,20,22,10.5,346.360590058275,346.360590058275,1382.30076757951
"198","B3",3,389,2,7,24,23,11.75,433.736135736241,433.736135736241,1734.15914478157
"199","B3",3,392,3.2,7.3,31,23,13.5,572.55526111674,572.55526111674,2239.95556200952
"200","B3",3,393,2.5,6.7,25,24,12.25,471.435247579318,471.435247579318,1884.95559215388
"201","B3",3,385,3.5,7.1,32,25,14.25,637.939658219577,637.939658219577,2513.27412287183
"202","B3",3,384,4,10.3,32,29,15.25,730.616641500476,730.616641500476,2915.39798253133
"203","B3",4,466,3.8,11.1,20,18,9.5,283.528736986479,283.528736986479,1130.97335529233
"204","B3",4,481,2.5,7.6,19,19,9.5,283.528736986479,283.528736986479,1134.11494794592
"205","B3",4,471,3.2,11.1,34,25,14.75,683.492751696629,683.492751696629,2670.35375555132
"206","B3",4,466,4.2,10.7,43,25,17,907.92027688745,907.92027688745,3377.21210260903
"207","B3",4,468,3,9.8,39,26,16.25,829.576810088555,829.576810088555,3185.57495074005
"208","B3",4,467,4,11.2,31,27,14.5,660.519855417254,660.519855417254,2629.51305105466
"209","B3",4,470,5.5,14.1,41,28,17.25,934.820163983813,934.820163983813,3606.54836632108
"210","B3",4,483,3.7,10.9,31,31,15.5,754.767635024948,754.767635024948,3019.07054009979
"211","B3",4,474,4.7,11.9,33,31,16,804.247719318987,804.247719318987,3213.84928462236
"212","B3",4,486,4.3,10.5,35,31,16.5,855.298599939821,855.298599939821,3408.62802914493
"213","B3",4,475,4.5,9.5,37,31,17,907.92027688745,907.92027688745,3603.40677366749
"214","B3",4,478,3,9.8,37,31,17,907.92027688745,907.92027688745,3603.40677366749
"215","B3",4,472,3.8,14.6,40,31,17.75,989.798035421634,989.798035421634,3895.57489045134
"216","B3",4,465,4.5,7,35,32,16.75,881.413088872786,881.413088872786,3518.58377202057
"217","B3",4,469,5.5,11.8,36,32,17,907.92027688745,907.92027688745,3619.11473693544
"218","B3",4,473,3.7,10.7,36.5,33,17.375,948.417369687631,948.417369687631,3784.04835124891
"219","B3",4,470,4.5,14,37,34,17.75,989.798035421634,989.798035421634,3952.12355821596
"220","B3",4,479,4.5,9.7,38,35,18.25,1046.34670318625,1046.34670318625,4178.31822927442
"221","B3",4,476,3.3,9.6,36,36,18,1017.87601976309,1017.87601976309,4071.50407905237
"222","B3",4,482,4,11.7,38,37,18.75,1104.46616727766,1104.46616727766,4417.07927094725
"223","B3",4,480,4,13.3,44,38,20.5,1320.25431267111,1320.25431267111,5252.74291680213
"224","B3",4,484,4.5,13,39,40,19.75,1225.41748444087,1225.41748444087,4900.88453960008
"225","B3",4,485,4.5,10,39.5,41,20.125,1272.39411208908,1272.39411208908,5087.80930248867
"226","B3",4,477,4,12.1,41,41,20.5,1320.25431267111,1320.25431267111,5281.01725068444
"227","B3",5,405,4,9.7,34,18,13,530.929158456675,530.929158456675,1922.65470399695
"228","B3",5,403,3.5,10.7,21,21,10.5,346.360590058275,346.360590058275,1385.4423602331
"229","B3",5,415,4.8,10.2,30,23,13.25,551.545860245858,551.545860245858,2167.69893097696
"230","B3",5,401,4.3,11.2,41,27,17,907.92027688745,907.92027688745,3477.7430675239
"231","B3",5,399,4,13.1,38,28,16.5,855.298599939821,855.298599939821,3342.65458341954
"232","B3",5,406,4,10.4,32,29,15.25,730.616641500476,730.616641500476,2915.39798253133
"233","B3",5,419,4,12.3,38,31,17.25,934.820163983813,934.820163983813,3700.79614592878
"234","B3",5,420,4.2,10.9,42,32,18.5,1075.21008569111,1075.21008569111,4222.30052642468
"235","B3",5,407,5,10.7,43,32,18.75,1104.46616727766,1104.46616727766,4322.83149133956
"236","B3",5,416,4.5,11.1,36,34,17.5,962.112750161874,962.112750161874,3845.30940799391
"237","B3",5,404,4.5,13.6,43,35,19.5,1194.59060652752,1194.59060652752,4728.09694365264
"238","B3",5,411,4.3,11.3,40,36,19,1134.11494794592,1134.11494794592,4523.8934211693
"239","B3",5,402,4.7,11.7,41,37,19.5,1194.59060652752,1194.59060652752,4765.79605549572
"240","B3",5,414,4.3,11.9,38,38,19,1134.11494794592,1134.11494794592,4536.45979178366
"241","B3",5,418,3.3,12.4,39,38,19.25,1164.15642769587,1164.15642769587,4655.84031262007
"242","B3",5,400,4.5,11.3,42,38,20,1256.63706143592,1256.63706143592,5013.98187512931
"243","B3",5,417,4.5,12.3,39,39,19.5,1194.59060652752,1194.59060652752,4778.36242611007
"244","B3",5,409,4.2,15.1,40,39,19.75,1225.41748444087,1225.41748444087,4900.88453960008
"245","B3",5,408,4.5,14,40,40,20,1256.63706143592,1256.63706143592,5026.54824574367
"246","B3",5,410,4.2,14.4,48,41,22.25,1555.2847130678,1555.2847130678,6182.65434226471
"247","B3",5,413,4.7,14.7,48,41,22.25,1555.2847130678,1555.2847130678,6182.65434226471
"248","B3",5,412,4,13.4,44,42,21.5,1452.20120412188,1452.20120412188,5805.66322383394
"249","B3",6,432,3,9.3,24,16,10,314.159265358979,314.159265358979,1206.37157897848
"250","B3",6,439,4,9.8,23,17,10,314.159265358979,314.159265358979,1228.36272755361
"251","B3",6,429,3,9.7,27,17,11,380.132711084365,380.132711084365,1441.99102799772
"252","B3",6,434,4,10.4,33,19,13,530.929158456675,530.929158456675,1969.7785938008
"253","B3",6,421,4,9.2,23,20,10.75,363.05030103047,363.05030103047,1445.1326206513
"254","B3",6,442,4.2,10.7,28,21,12.25,471.435247579318,471.435247579318,1847.2564803108
"255","B3",6,427,3,10.3,27,22,12.25,471.435247579318,471.435247579318,1866.10603623234
"256","B3",6,423,2.5,9.7,28,22,12.5,490.873852123405,490.873852123405,1935.22107461131
"257","B3",6,430,4.2,8.6,29,22,12.75,510.705155749191,510.705155749191,2004.33611299029
