"","Individuo","Bloque.x","Tratamiento.x","AlturaTallo.x","DiamTallo.x","CobVeg_anc.x","CobVeg_lar.x","Rad.prom.x","Area.cob.x","Bloque.y","Tratamiento.y","AlturaTallo.y","DiamTallo.y","CobVeg_anc.y","CobVeg_lar.y","Rad.prom.y","Area.cob.y","dif.tallo","dif.alt","dif.cob"
"85",306,"B2",2,3.5,12,41,37,19.5,1194.59060652752,"B2",2,6,12.3,52,41,23.25,1698.22717880613,0.300000000000001,2.5,503.636572278614
"86",307,"B2",2,2.8,4.8,16,12,7,153.9380400259,"B2",2,3.2,5.8,25,23,12,452.38934211693,1,0.4,298.45130209103
"87",308,"B2",2,3.7,10.2,33,32,16.25,829.576810088555,"B2",2,4.5,9.5,43,43,21.5,1452.20120412188,0,0.8,622.624394033327
"88",309,"B2",2,4.3,10.3,37,31,17,907.92027688745,"B2",2,6.5,11.4,40,38,19.5,1194.59060652752,1.1,2.2,286.670329640069
"89",310,"B2",2,4.2,9.8,42,30,18,1017.87601976309,"B2",2,6.7,11.3,41,39,20,1256.63706143592,1.5,2.5,238.761041672824
"90",311,"B2",2,4,10.2,33,32,16.25,829.576810088555,"B2",2,4.5,10.7,40,31,17.75,989.798035421634,0.5,0.5,160.221225333079
"91",312,"B2",2,5.3,14.6,39,39,19.5,1194.59060652752,"B2",2,7,15.3,46,42,22,1520.53084433746,0.700000000000001,1.7,325.940237809941
"92",313,"B2",2,5.8,13.8,49,47,24,1809.55736846772,"B2",2,6.3,13.4,55,54,27.25,2332.82889483127,0,0.5,523.27152636355
"93",314,"B2",2,4.3,10.1,32,17,12.25,471.435247579318,"B2",2,3.5,9.6,49,33,20.5,1320.25431267111,0,0,848.819065091792
"94",315,"B2",2,3,6.9,20,25,11.25,397.607820219958,"B2",2,4.5,6.1,28,17,11.25,397.607820219958,0,1.5,0
"95",316,"B2",2,3.7,10.2,38,26,16,804.247719318987,"B2",2,4.5,9.8,50,36,21.5,1452.20120412188,0,0.8,647.953484802895
"96",317,"B2",2,4,10.2,17,30,11.75,433.736135736241,"B2",2,5,10.4,40,40,20,1256.63706143592,0.200000000000001,1,822.900925699676
"97",318,"B2",2,3.7,12.5,34,34,17,907.92027688745,"B2",2,3,13.6,30,30,15,706.858347057703,1.1,0,0
"98",319,"B2",2,4.5,11.6,44,30,18.5,1075.21008569111,"B2",2,8.2,11.5,57,63,30,2827.43338823081,0,3.7,1752.22330253971
"99",320,"B2",2,7,12.8,46,43,22.25,1555.2847130678,"B2",2,9.3,15.2,65,60,31.25,3067.96157577128,2.4,2.3,1512.67686270349
"100",321,"B2",2,4.3,10.5,34,29,15.75,779.311327631118,"B2",2,4,10.8,49,33,20.5,1320.25431267111,0.300000000000001,0,540.942985039992
"101",322,"B2",4,2,9,28,27,13.75,593.95736106932,"B2",4,2,9.5,35,27,15.5,754.767635024948,0.5,0,160.810273955628
"102",323,"B2",4,2.5,6.3,25,19,11,380.132711084365,"B2",4,3,7,30,23,13.25,551.545860245858,0.7,0.5,171.413149161493
"103",324,"B2",4,2.5,9.4,32,23,13.75,593.95736106932,"B2",4,5,11.2,48,40,22,1520.53084433746,1.8,2.5,926.57348326814
"104",325,"B2",4,3.8,10.6,33.5,31,16.125,816.863177318559,"B2",4,5.5,11.2,49,34,20.75,1352.65198691126,0.6,1.7,535.788809592697
"105",326,"B2",4,4.2,9.2,42,28,17.5,962.112750161874,"B2",4,2.5,11.2,42,24,16.5,855.298599939821,2,0,0
"106",327,"B2",4,1.7,7.6,18,17.5,8.875,247.449508855409,"B2",4,3.5,9.1,28,27,13.75,593.95736106932,1.5,1.8,346.507852213912
"107",328,"B2",4,2.7,9.6,25,18,10.75,363.05030103047,"B2",4,3.5,8.5,31,29,15,706.858347057703,0,0.8,343.808046027233
"108",329,"B2",4,3.3,10.7,34,28,15.5,754.767635024948,"B2",4,3.7,10.6,53,50,25.75,2083.07227887088,0,0.4,1328.30464384593
"109",330,"B2",4,3.5,4.9,31.5,31,15.625,766.990393942821,"B2",4,5,11.2,48,37,21.25,1418.62543263664,6.3,1.5,651.63503869382
"110",331,"B2",4,3,9,38,24,15.5,754.767635024948,"B2",4,4.5,10,43,39,20.5,1320.25431267111,1,1.5,565.486677646163
"111",332,"B2",4,3,7.9,25,22,11.75,433.736135736241,"B2",4,5,8.1,41,40,20.25,1288.24933751266,0.199999999999999,2,854.513201776424
"112",333,"B2",4,4,11.8,36,33,17.25,934.820163983813,"B2",4,8,11.1,54,44,24.5,1885.74099031727,0,4,950.920826333461
"113",334,"B2",4,3,11.8,32,24,14,615.752160103599,"B2",4,4,12.1,39,34,18.25,1046.34670318625,0.299999999999999,1,430.594543082651
"114",335,"B2",4,3.2,8.8,36,29,16.25,829.576810088555,"B2",4,4,9.9,40,39,19.75,1225.41748444087,1.1,0.8,395.840674352314
"115",336,"B2",4,3.5,8.3,36,34,17.5,962.112750161874,"B2",4,4.5,10.1,51,40,22.75,1625.97054777357,1.8,1,663.857797611693
"116",337,"B2",4,3.2,9.7,36,21,14.25,637.939658219577,"B2",4,3.5,10.5,39,32,17.75,989.798035421634,0.800000000000001,0.3,351.858377202057
"117",338,"B2",4,2.3,9.1,22,21,10.75,363.05030103047,"B2",4,3.5,9.1,34,33,16.75,881.413088872786,0,1.2,518.362787842316
"118",339,"B2",4,4,9.7,36,25,15.25,730.616641500476,"B2",4,3.7,10.6,34,33,16.75,881.413088872786,0.9,0,150.79644737231
"119",340,"B2",4,3.3,7.5,32,16.5,12.125,461.863207462912,"B2",4,4,9.5,43,37,20,1256.63706143592,2,0.7,794.773853973005
"120",341,"B2",4,3,6,28,25,13.25,551.545860245858,"B2",4,4,7.8,32,30,15.5,754.767635024948,1.8,1,203.22177477909
"121",342,"B2",4,4.9,3.5,19.5,14.5,8.5,226.980069221863,"B2",4,3.5,5.7,27,23,12.5,490.873852123405,2.2,0,263.893782901543
"122",343,"B2",4,4,11.4,36,36,18,1017.87601976309,"B2",4,4,12.1,54,50,26,2123.7166338267,0.699999999999999,0,1105.84061406361
"123",344,"B2",4,3.5,7.7,32,26,14.5,660.519855417254,"B2",4,5,9.2,35,34,17.25,934.820163983813,1.5,1.5,274.300308566559
"124",345,"B2",5,3,8.4,31,23,13.5,572.55526111674,"B2",5,3.7,11.3,37,33,17.5,962.112750161874,2.9,0.7,389.557489045134
"125",346,"B2",5,2.7,7.3,28,22,12.5,490.873852123405,"B2",5,2.7,8.5,40,30,17.5,962.112750161874,1.2,0,471.238898038469
"126",347,"B2",5,4.2,9.1,32,26,14.5,660.519855417254,"B2",5,4.5,9.6,43,30,18.25,1046.34670318625,0.5,0.3,385.826847768997
"127",348,"B2",5,2.7,9.2,33,30,15.75,779.311327631118,"B2",5,4.5,12,45,36,20.25,1288.24933751266,2.8,1.8,508.938009881547
"128",349,"B2",5,3.5,5.5,27,13,10,314.159265358979,"B2",5,4.5,6,31,25,14,615.752160103599,0.5,1,301.59289474462
"129",350,"B2",5,3.8,9.8,30,34,16,804.247719318987,"B2",5,5.5,11.1,51,42,23.25,1698.22717880613,1.3,1.7,893.979459487146
"130",351,"B2",5,3.5,10.3,30,28,14.5,660.519855417254,"B2",5,5,10.9,42,39,20.25,1288.24933751266,0.6,1.5,627.729482095411
"131",352,"B2",5,4,9.4,27,20,11.75,433.736135736241,"B2",5,4.5,10,42,40,20.5,1320.25431267111,0.6,0.5,886.51817693487
"132",353,"B2",5,4,9.4,32,29,15.25,730.616641500476,"B2",5,6,13.2,59,37,24,1809.55736846772,3.8,2,1078.94072696724
"133",354,"B2",5,3.3,10.6,37,33,17.5,962.112750161874,"B2",5,4.5,11.4,53,43,24,1809.55736846772,0.800000000000001,1.2,847.444618305847
"134",355,"B2",5,4.5,10.2,40,34,18.5,1075.21008569111,"B2",5,5.5,11.4,57,48,26.25,2164.75368786422,1.2,1,1089.54360217311
"135",356,"B2",5,4.5,11.5,24,36,15,706.858347057703,"B2",5,5.3,11.5,45,37,20.5,1320.25431267111,0,0.8,613.395965613407
"136",357,"B2",5,3,9.5,36,22,14.5,660.519855417254,"B2",5,3,11.3,32,31,15.75,779.311327631118,1.8,0,118.791472213864
"137",358,"B2",5,4.5,11.5,40,38,19.5,1194.59060652752,"B2",5,7.5,13,48,43,22.75,1625.97054777357,1.5,3,431.379941246048
"138",359,"B2",5,3.8,9.5,33,27,15,706.858347057703,"B2",5,3.5,10.6,43,41,21,1385.4423602331,1.1,0,678.584013175395
"139",360,"B2",5,3.5,9.6,34,34,17,907.92027688745,"B2",5,5.5,10.6,57,43,25,1963.49540849362,1,2,1055.57513160617
"140",361,"B2",5,3,11.1,38,22,15,706.858347057703,"B2",5,4.5,10.5,38,27,16.25,829.576810088555,0,1.5,122.718463030851
"141",362,"B2",5,3.5,11.5,34,32,16.5,855.298599939821,"B2",5,3.5,11.5,46,37,20.75,1352.65198691126,0,0,497.353386971434
"142",363,"B2",5,3.2,9.2,31,19,12.5,490.873852123405,"B2",5,4,10.1,29,27,14,615.752160103599,0.9,0.8,124.878307980194
"143",364,"B2",5,3.2,9.2,31,19,12.5,490.873852123405,"B2",5,5,11.1,47,45,23,1661.902513749,1.9,1.8,1171.0286616256
"144",366,"B2",5,3.2,7.6,26.5,25,12.875,520.768069717721,"B2",5,4.5,11.2,40,29,17.25,934.820163983813,3.6,1.3,414.052094266092
"145",367,"B2",5,3,9,34,30,16,804.247719318987,"B2",5,4.2,9.8,46,46,23,1661.902513749,0.800000000000001,1.2,857.654794430013
"146",368,"B2",5,4,9.8,32,30,15.5,754.767635024948,"B2",5,4.5,12.1,45,30,18.75,1104.46616727766,2.3,0.5,349.698532252714
"147",369,"B3",7,4,11.7,42,35,19.25,1164.15642769587,"B3",7,7.5,12.1,65,59,31,3019.07054009979,0.4,3.5,1854.91411240392
"148",370,"B3",7,3,8.5,28.5,17,11.375,406.492636943392,"B3",7,4,9.2,39,35,18.5,1075.21008569111,0.699999999999999,1,668.717448747715
"149",370,"B3",7,3.5,8.1,27,17,11,380.132711084365,"B3",7,4,9.2,39,35,18.5,1075.21008569111,1.1,0.5,695.077374606742
"150",371,"B3",7,3.3,9.1,30,22,13,530.929158456675,"B3",7,4.5,11.9,45,37,20.5,1320.25431267111,2.8,1.2,789.325154214435
"151",372,"B3",7,4.2,11.2,32,29,15.25,730.616641500476,"B3",7,7,11.5,57,49,26.5,2206.18344098343,0.300000000000001,2.8,1475.56679948296
"152",372,"B3",7,5.5,11.5,38,30,17,907.92027688745,"B3",7,7,11.5,57,49,26.5,2206.18344098343,0,1.5,1298.26316409598
"153",373,"B3",7,4,13.7,42,41,20.75,1352.65198691126,"B3",7,8,13.3,71,52,30.75,2970.57220351,0,4,1617.92021659874
"154",374,"B3",7,5.5,11.3,40,38,19.5,1194.59060652752,"B3",7,8.2,12,52,39,22.75,1625.97054777357,0.699999999999999,2.7,431.379941246048
"155",375,"B3",7,4.5,11.4,45,44,22.25,1555.2847130678,"B3",7,7.3,12.8,54,48,25.5,2042.82062299676,1.4,2.8,487.535909928966
"156",376,"B3",7,4.5,10.4,40,32,18,1017.87601976309,"B3",7,6,10.5,54,49,25.75,2083.07227887088,0.0999999999999996,1.5,1065.19625910779
"157",377,"B3",7,4,10.8,39,37,19,1134.11494794592,"B3",7,6.5,13.2,56,54.5,27.625,2397.47698115592,2.4,2.5,1263.36203321001
"158",378,"B3",7,5,12.1,43,41,21,1385.4423602331,"B3",7,8.3,13.4,58,55,28.25,2507.1872871055,1.3,3.3,1121.74492687241
"159",379,"B3",7,6,13.1,52,48,25,1963.49540849362,"B3",7,7.5,13.5,47,40,21.75,1486.16967468882,0.4,1.5,0
"160",380,"B3",7,3.7,8.4,29,25,13.5,572.55526111674,"B3",7,7.3,9.8,52,51,25.75,2083.07227887088,1.4,3.6,1510.51701775414
"161",381,"B3",7,3.5,11.7,32.5,28,15.125,718.688406893878,"B3",7,5.5,13,50,40,22.5,1590.43128087983,1.3,2,871.742873985955
"162",383,"B3",7,4.5,11.7,43,22,16.25,829.576810088555,"B3",7,6.5,11.6,34,33,16.75,881.413088872786,0,2,51.8362787842316
"163",384,"B3",3,4,10.3,32,29,15.25,730.616641500476,"B3",3,5,10,40,39,19.75,1225.41748444087,0,1,494.800842940392
"164",385,"B3",3,3.5,7.1,32,25,14.25,637.939658219577,"B3",3,3.5,7,46,42,22,1520.53084433746,0,0,882.591186117883
"165",386,"B3",3,4.3,5.3,20,22,10.5,346.360590058275,"B3",3,3.7,6.8,39,28,16.75,881.413088872786,1.5,0,535.052498814512
"166",387,"B3",3,4,4.9,21,18,9.75,298.64765163188,"B3",3,4,5.5,38.5,26,16.125,816.863177318559,0.6,0,518.215525686679
"167",388,"B3",3,3,7.4,22,21,10.75,363.05030103047,"B3",3,3.5,6.8,42,36,19.5,1194.59060652752,0,0.5,831.540305497048
"168",389,"B3",3,2,7,24,23,11.75,433.736135736241,"B3",3,2.5,6.1,29,29,14.5,660.519855417254,0,0.5,226.783719681013
"169",390,"B3",3,1.8,5.4,24.5,19,10.875,371.542418672205,"B3",3,3.5,6.8,37,31,17,907.92027688745,1.4,1.7,536.377858215245
"170",391,"B3",3,1,3.8,14,12,6.5,132.732289614169,"B3",3,1.5,4.2,17.5,16.5,8.5,226.980069221863,0.4,0.5,94.2477796076938
"171",392,"B3",3,3.2,7.3,31,23,13.5,572.55526111674,"B3",3,5,8.3,41,38,19.75,1225.41748444087,1,1.8,652.862223324129
"172",393,"B3",3,2.5,6.7,25,24,12.25,471.435247579318,"B3",3,4.5,8.5,45,34,19.75,1225.41748444087,1.8,2,753.98223686155
"173",394,"B3",3,2,3.2,15,7.5,5.625,99.4019550549895,"B3",3,2.2,3.6,26,24,12.5,490.873852123405,0.4,0.2,391.471897068416
"174",395,"B3",3,2.5,5.2,12.5,19,7.875,194.82783190778,"B3",3,3,4.8,18,18,9,254.469004940773,0,0.5,59.6411730329937
"175",396,"B3",3,1.8,5.1,17,15.5,8.125,207.394202522139,"B3",3,3.5,5,22,15,9.25,268.802521422777,0,1.7,61.408318900638
"176",397,"B3",3,1,3,12.5,8,5.125,82.5158945419444,"B3",3,2,4.6,14,13,6.75,143.138815279185,1.6,1,60.6229207372405
